1,80,"lkw","Volvo",1590969600.0
2,124,"pkw","Nissan",1590969601.0
3,202,"pkw","VW",1590969602.0
1,79,"lkw","DAF",1590969606.0
2,122,"pkw","Skoda",1590969607.0
1,80,"lkw","Scania",1590969612.0
3,213,"pkw","Bugatti",1590969612.0
2,129,"pkw","VW",1590969613.0
1,75,"lkw","Scania",1590969618.0
2,165,"pkw","Bugatti",1590969619.0
3,205,"pkw","VW",1590969622.0
1,80,"lkw","MAN",1590969624.0
2,170,"pkw","Lamborghini",1590969625.0
1,85,"lkw","Iveco",1590969630.0
2,130,"pkw","Ford",1590969631.0
3,239,"pkw","Bentley",1590969632.0
1,105,"pkw","VW",1590969636.0
2,145,"pkw","Hyundai",1590969637.0
1,80,"lkw","MAN",1590969642.0
3,282,"pkw","Lamborghini",1590969642.0
2,143,"pkw","Opel",1590969643.0
1,77,"lkw","Iveco",1590969648.0
2,138,"pkw","Audi",1590969649.0
3,197,"pkw","Hyundai",1590969652.0
1,79,"lkw","MAN",1590969654.0
2,132,"pkw","Mercedes-Benz",1590969655.0
1,84,"lkw","Volvo",1590969660.0
2,131,"pkw","VW",1590969661.0
3,198,"pkw","Audi",1590969662.0
1,83,"lkw","Scania",1590969666.0
2,128,"pkw","Renault",1590969667.0
1,83,"lkw","Scania",1590969672.0
3,220,"pkw","Renault",1590969672.0
2,157,"pkw","VW",1590969673.0
1,116,"pkw","Skoda",1590969678.0
2,152,"pkw","Opel",1590969679.0
3,168,"pkw","Audi",1590969682.0
1,85,"lkw","Scania",1590969684.0
2,85,"lkw","MAN",1590969685.0
1,78,"lkw","Scania",1590969690.0
2,164,"pkw","Aston Martin",1590969691.0
3,236,"pkw","BMW",1590969692.0
1,83,"lkw","Scania",1590969696.0
2,122,"pkw","Mercedes-Benz",1590969697.0
1,82,"lkw","Volvo",1590969702.0
3,195,"pkw","Skoda",1590969702.0
2,121,"pkw","Mercedes-Benz",1590969703.0
1,85,"lkw","Volvo",1590969708.0
2,137,"pkw","Nissan",1590969709.0
3,220,"pkw","Audi",1590969712.0
1,77,"lkw","MAN",1590969714.0
2,86,"lkw","Volvo",1590969715.0
1,76,"lkw","Scania",1590969720.0
2,155,"pkw","Kia",1590969721.0
3,190,"pkw","VW",1590969722.0
1,83,"lkw","DAF",1590969726.0
2,134,"pkw","Seat",1590969727.0
1,108,"pkw","Audi",1590969732.0
3,215,"pkw","VW",1590969732.0
2,141,"pkw","Fiat",1590969733.0
1,78,"lkw","Scania",1590969738.0
2,138,"pkw","Renault",1590969739.0
3,208,"pkw","Mercedes-Benz",1590969742.0
1,82,"lkw","Scania",1590969744.0
2,156,"pkw","Hyundai",1590969745.0
1,79,"lkw","Volvo",1590969750.0
2,88,"lkw","Volvo",1590969751.0
3,184,"pkw","Renault",1590969752.0
1,76,"lkw","MAN",1590969756.0
2,143,"pkw","Audi",1590969757.0
1,75,"lkw","Scania",1590969762.0
3,215,"pkw","Hyundai",1590969762.0
2,133,"pkw","Audi",1590969763.0
1,83,"lkw","DAF",1590969768.0
2,127,"pkw","Opel",1590969769.0
3,250,"pkw","VW",1590969772.0
1,75,"lkw","MAN",1590969774.0
2,154,"pkw","Ford",1590969775.0
1,78,"lkw","Scania",1590969780.0
2,142,"pkw","Ford",1590969781.0
3,227,"pkw","Hyundai",1590969782.0
1,81,"lkw","MAN",1590969786.0
2,138,"pkw","Renault",1590969787.0
1,85,"lkw","MAN",1590969792.0
3,165,"pkw","VW",1590969792.0
2,144,"pkw","Fiat",1590969793.0
1,81,"lkw","DAF",1590969798.0
2,139,"pkw","Hyundai",1590969799.0
3,162,"pkw","VW",1590969802.0
1,83,"lkw","MAN",1590969804.0
2,143,"pkw","VW",1590969805.0
1,85,"lkw","Iveco",1590969810.0
2,145,"pkw","Nissan",1590969811.0
3,166,"pkw","Ford",1590969812.0
1,77,"lkw","MAN",1590969816.0
2,141,"pkw","VW",1590969817.0
1,84,"lkw","Volvo",1590969822.0
3,183,"pkw","Ford",1590969822.0
2,127,"pkw","Fiat",1590969823.0
1,79,"lkw","MAN",1590969828.0
2,173,"pkw","Rolls Royce",1590969829.0
3,192,"pkw","Aston Martin",1590969832.0
1,79,"lkw","Scania",1590969834.0
2,129,"pkw","BMW",1590969835.0
1,85,"lkw","Scania",1590969840.0
2,140,"pkw","Hyundai",1590969841.0
3,205,"pkw","VW",1590969842.0
1,77,"lkw","MAN",1590969846.0
2,140,"pkw","VW",1590969847.0
1,82,"lkw","MAN",1590969852.0
3,194,"pkw","Audi",1590969852.0
2,133,"pkw","Seat",1590969853.0
1,81,"lkw","Scania",1590969858.0
2,147,"pkw","Nissan",1590969859.0
3,221,"pkw","BMW",1590969862.0
1,81,"lkw","Scania",1590969864.0
2,147,"pkw","Fiat",1590969865.0
1,103,"pkw","Mercedes-Benz",1590969870.0
2,158,"pkw","Mercedes-Benz",1590969871.0
3,181,"pkw","Nissan",1590969872.0
1,76,"lkw","MAN",1590969876.0
2,151,"pkw","Fiat",1590969877.0
1,78,"lkw","DAF",1590969882.0
3,276,"pkw","Aston Martin",1590969882.0
2,150,"pkw","VW",1590969883.0
1,79,"lkw","Scania",1590969888.0
2,88,"lkw","Scania",1590969889.0
3,256,"pkw","Lamborghini",1590969892.0
1,85,"lkw","Volvo",1590969894.0
2,87,"lkw","MAN",1590969895.0
1,85,"lkw","MAN",1590969900.0
2,168,"pkw","Lamborghini",1590969901.0
3,169,"pkw","BMW",1590969902.0
1,83,"lkw","Volvo",1590969906.0
2,124,"pkw","VW",1590969907.0
1,77,"lkw","Scania",1590969912.0
3,224,"pkw","Lamborghini",1590969912.0
